Раздел;Блок;Код компетенции;Направление компетенции;Формулировка компетенции;Строка исходной матрицы
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-5;Методы повышения устойчивости, надежности безопасности алгоритмов МО;Способен разрабатывать и (или) применять методы повышения устойчивости, надежности, безопасности алгоритмов МО;17
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-6;Обучение с подкреплением;Способен применять алгоритмы обучения с подкреплением;18
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-7;Автоматическое машинное обучение;Способен применять автоматическое машинное обучение;19
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-8;Алгоритмы обучения на нестандартных объемах данных;Способен применять алгоритмы обучения на нестандартных объемах данных;20
Профессиональные (инструментальные) компетенции;Глубокое обучение;DL-1;Нейронные сети, глубокие нейронные сети;Способен применять и (или) разрабатывать архитектуры глубоких нейронных сетей;21
Профессиональные (инструментальные) компетенции;Глубокое обучение;DL-2;Современные архитектуры генеративных глубоких сетей;Способен применять и (или) разрабатывать современные архитектуры генеративных глубоких сетей;22
Профессиональные (инструментальные) компетенции;Глубокое обучение;DL-3;Компьютерное зрение;Способен применять и (или) разрабатывать алгоритмы, методы и технологии компьютерного зрения;23
Профессиональные (инструментальные) компетенции;Глубокое обучение;DL-4;Обработка естественного языка;Способен применять и (или) разрабатывать алгоритмы, методы и технологии обработки естественного языка;24
Профессиональные (инструментальные) компетенции;Глубокое обучение;DL-5;Распознавание и генерация речи;Способен применять и (или) разрабатывать алгоритмы распознавания и генерации речи;25
Профессиональные (инструментальные) компетенции;Другие направления ИИ;O-1;Управление знаниями;Способен осуществлять управление знаниями, в том числе с применением алгоритмов интеллектуального поиска решений и формирования стратегий;26
Профессиональные (инструментальные) компетенции;Другие направления ИИ;O-2;Мультиагентные алгоритмы;Способен применять и (или) разрабатывать мультиагентные алгоритмы;27
Профессиональные (инструментальные) компетенции;Другие направления ИИ;O-3;Интеллектуальные методы оптимизации;Способен применять и (или) разрабатывать интеллектуальные методы оптимизации;28
Профессиональные (инструментальные) компетенции;Языки программирования;PL-1;Python;Способен применять язык программирования Python для решения задач в области ИИ;29
Профессиональные (инструментальные) компетенции;Языки программирования;PL-2;Java/Scala/Kotlin;Способен применять JVM-совместимые языки программирования для решения задач в области ИИ;30
Профессиональные (инструментальные) компетенции;Языки программирования;PL-3;C#;Способен применять языки программирования платформы .NET для решения задач в области ИИ;31
Профессиональные (инструментальные) компетенции;Языки программирования;PL-4;С/С++;Способен применять языки программирования С/С++ для решения задач в области ИИ;32
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-1;Понимание бизнес-проблемы;Способен проводить анализ бизнес-проблем с оценкой перспективности применения ИИ для их решения, осуществлять постановку задачи, формулировать требования к системе ИИ;33
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-2;Моделирование, проведение экспериментов;Способен проводить эксперименты на данных, формулировать гипотезы исследования, строить (обучать, дообучать) модели ИИ с оценкой их качества и анализом ошибок, обеспечивать воспроизводимость и масштабируемость исследований на данных;34
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-3;Проектирование (ML System Design);Способен проектировать и поддерживать архитектуру систем искусственного интеллекта;35
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-4;Управление процессами жизненного цикла ИИ-продукта;Способен управлять процессом жизненного цикла ИИ-продукта;36
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-5;Промышленная разработка, развертывание,  эксплуатация и мониторинг систем ИИ;Способен применять и (или) проектировать различные инструменты и инженерные практики промышленной разработки систем ИИ развертывания и сопровождения моделей машинного обучения в продуктивной среде;37
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-6;Стратегия ИИ. Цифровая экосистема с ИИ;Способен разрабатывать и реализовывать стратегию цифровой трансформации организации с использованием технологий работы с большими данными и искусственного интеллекта, формировать и поддерживать цифровую экосистему организации;38
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-7;Экономика ИИ;Способен оценивать и прогнозировать экономические и социальные эффекты от внедрения ИИ в конкретной организации или отрасли;39
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-8;История развития и основные тренды современного ИИ;Способен применять знания об истории развития и трендах современного ИИ для формулирования корректных постановок задач и поиска перспективных способов решения проблем с помощью ИИ;40
Профессиональные (инструментальные) компетенции;Безопасность ИИ;AI S -1;Доверенный ИИ, управление рисками и безопасностью систем ИИ;Cпособен управлять рисками при разработке  и использовании систем ИИ, выстраивать управление безопасностью ИИ в организации с учетом принципов этического использования ИИ;41
Профессиональные (инструментальные) компетенции;Безопасность ИИ;AI S -2;Доверенный ИИ управление рисками и безопасностью систем ИИ;Способен проверять стойкость ИИ-моделей и выстраивает защиту от реальных атак;42
Профессиональные (инструментальные) компетенции;Безопасность ИИ;AI S -3;Доверенный ИИ управление рисками и безопасностью систем ИИ;Проектирует и разрабатывает ИИ-решения с учётом принципов «конструктивной безопасности»;43
Профессиональные (инструментальные) компетенции;Большие языковые модели и генеративный ИИ;LLM-1;Применение и разработка генеративных моделей и БЯМ;Способен применять и (или) разрабатывать генеративные модели и БЯМ;44
Профессиональные (инструментальные) компетенции;Большие языковые модели и генеративный ИИ;LLM-2;Дообучение и адаптация генеративных моделей;Способен дообучать адаптировать и оптимизировать генеративные модели под специфические задачи и условия применения;45
Профессиональные (инструментальные) компетенции;Большие языковые модели и генеративный ИИ;LLM-3;Расширение контекста генерации;Проектирует и применяет техники расширения контекста генерации (RAG);46
Профессиональные (инструментальные) компетенции;Большие языковые модели и генеративный ИИ;LLM-4;Интеллектуальные агенты на базе генеративных моделей;Проектирует, разрабатывает и интегрирует интеллектуальных агентов на базе генеративных моделей;47
Профессиональные (инструментальные) компетенции;Большие языковые модели и генеративный ИИ;LLM-5;Проектирование промптов;Организует взаимодействие с генеративными моделями через проектирование, анализ и применение промптов;48
Профессиональные (инструментальные) компетенции;Когнитивная наука;CS-1;Когнитивное моделирование поведения человека;Способен применять теоретические знания о высших познавательных функциях (память, внимание, мышление и др.) для решения практических задач в контексте междисциплинарных исследований;49
Профессиональные (инструментальные) компетенции;Когнитивная наука;CS-2;Разработка интерфейсов мозг–компьютер;Способен проектировать интерфейсы  мозг-компьютер (Brain-Computer Interface, BCI);50
Профессиональные (инструментальные) компетенции;Высокопрозводительные вычисления для ИИ;HPC-1;Высокопроизводительные вычислительные архитектуры;Способен проектировать, разрабатывать и программно реализовывать эффективные вычислительные алгоритмы ИИ с учетом особенностей высокопроизводительных вычислительных архитектур;51
Профессиональные (инструментальные) компетенции;Высокопрозводительные вычисления для ИИ;HPC-2;Архитектуры распределенных вычислений;Способен проектировать, разрабатывать и программно реализовывать эффективные вычислительные алгоритмы ИИ с учетом особенностей архитектур распределенных вычислений;52
Опережающие компетенции;Управление решениями, агентные/мультиагентные системы;FC-3;Разработка алгоритмов обучения с подкреплением;Способен проводить передовые исследования в области управления, решения, агентных и мультиагентных систем;59
Опережающие компетенции;Элементы AGI;FC-4;Рассуждения и рефлексия;Способен проводить передовые исследования в области элементов сильного ИИ;62
Опережающие компетенции;Безопасность, доверие и объяснимость;FC-5;"Выравнивание
целей";Способен проводить передовые исследования в области безопасности, доверия и объяснимости;67
Универсальные компетенции;Универсальные компетенции;SS-1;Этика и философия ИИ;Способен осуществлять свою трудовую деятельность с учетом определения  корректной роли ИИ  в различных процессах, критического анализа последствий применения ИИ-технологий, этических принципов использования ИИ;74
Универсальные компетенции;Универсальные компетенции;SS-2;Командная работа, коммуникации и лидерство в ИИ;Способен осуществлять свою трудовую деятельность с учётом необходимости эффективной коммуникации и взаимодействия в рамках коллективной проектной работы в области  ИИ;75
Универсальные компетенции;Универсальные компетенции;SS-3;Системное, критическое и креативное мышление в ИИ;Способен осуществлять свою трудовую функцию с учетом  неопределенности как сущностной черты функционирования систем ИИ;76
